430fb9ba-8605-4abc-9b07-6123066cf39f, Wizard ,Bot->Gaelar, 65, 23, 11
a46d4841-b064-424f-b98f-16e1d7933c28, Warrior,Bot->Renus, 111, 31, 1
cb8f8195-6283-4104-baf6-7fc95a842e9a, Warrior,Bot->Dracon, 185, 11, 3
430fb9ba-8605-4abc-9b07-6123066cf39f, Wizard ,Bot->Serge, 65, 23, 11
a46d4841-b064-424f-b98f-16e1d7933c28, Warrior,Bot->Livian, 111, 31, 1
cb8f8195-6283-4104-baf6-7fc95a842e9a, Warrior,Bot->Fausto, 185, 11, 3
430fb9ba-8605-4abc-9b07-6123066cf39f, Wizard ,Bot->Redyk, 65, 23, 11
a46d4841-b064-424f-b98f-16e1d7933c28, Warrior,Bot->Gaspar, 111, 31, 1
cb8f8195-6283-4104-baf6-7fc95a842e9a, Warrior,Bot->Marcel, 185, 11, 3
430fb9ba-8605-4abc-9b07-6123066cf39f, Wizard ,Bot->Pegadus, 65, 23, 11
a46d4841-b064-424f-b98f-16e1d7933c28, Warrior,Bot->Otis, 111, 31, 1
cb8f8195-6283-4104-baf6-7fc95a842e9a, Warrior,Bot->Baramar, 185, 11, 3
430fb9ba-8605-4abc-9b07-6123066cf39f, Wizard ,Bot->Frend, 65, 23, 11
a46d4841-b064-424f-b98f-16e1d7933c28, Warrior,Bot->Yliak, 111, 31, 1
cb8f8195-6283-4104-baf6-7fc95a842e9a, Warrior,Bot->Roderick, 185, 11, 3
