430fb9ba-8605-4abc-9b07-6123066cf39f, Wizard ,Bot->DaniDifficult1, 65, 23, 11
a46d4841-b064-424f-b98f-16e1d7933c28, Warrior,Bot->DarrenDifficult2, 111, 31, 1
cb8f8195-6283-4104-baf6-7fc95a842e9a, Warrior,Bot->PeponDifficult3, 185, 11, 3
430fb9ba-8605-4abc-9b07-6123066cf39f, Wizard ,Bot->DaniDifficult4, 65, 23, 11
a46d4841-b064-424f-b98f-16e1d7933c28, Warrior,Bot->DarrenDifficult5, 111, 31, 1
cb8f8195-6283-4104-baf6-7fc95a842e9a, Warrior,Bot->PeponDifficult6, 185, 11, 3
430fb9ba-8605-4abc-9b07-6123066cf39f, Wizard ,Bot->DaniDifficult7, 65, 23, 11
a46d4841-b064-424f-b98f-16e1d7933c28, Warrior,Bot->DarrenDifficult8, 111, 31, 1
cb8f8195-6283-4104-baf6-7fc95a842e9a, Warrior,Bot->PeponDifficult9, 185, 11, 3
430fb9ba-8605-4abc-9b07-6123066cf39f, Wizard ,Bot->DaniDifficult10, 65, 23, 11
a46d4841-b064-424f-b98f-16e1d7933c28, Warrior,Bot->DarrenDifficult11, 111, 31, 1
cb8f8195-6283-4104-baf6-7fc95a842e9a, Warrior,Bot->PeponDifficult12, 185, 11, 3
430fb9ba-8605-4abc-9b07-6123066cf39f, Wizard ,Bot->DaniDifficult13, 65, 23, 11
a46d4841-b064-424f-b98f-16e1d7933c28, Warrior,Bot->DarrenDifficult14, 111, 31, 1
cb8f8195-6283-4104-baf6-7fc95a842e9a, Warrior,Bot->PeponDifficult15, 185, 11, 3
